tableA_id,tableA_Beer_Name,tableA_Brew_Factory_Name,tableA_Style,tableA_ABV,tableB_id,tableB_Beer_Name,tableB_Brew_Factory_Name,tableB_Style,tableB_ABV,label
2832,Red Remains,Solera Brewery,American Amber / Red Ale,5.80 %,1697,Carbondale Beer Works Bonedog Amber,Carbondale Beer Works,Amber Ale,5.50 %,0
3002,Enambered - Pilot Batch,Captain Lawrence Brewing Co. .,American Amber / Red Ale,5.90 %,2992,Red Car Motorman Reserve,Red Car Brewery & Restaurant,American Pale Ale,4.94 %,0
2564,Ambar,Cerveceria Berber S.A. de C.V.,American Amber / Red Ale,4.10 %,1536,AleSmith Speedway Stout - Red Velvet,AleSmith Brewing Company,Imperial Stout,12 %,0
4283,Fogcutter Barleywine,Lost Coast Brewery and Cafe,American Barleywine,-,2691,Keuka Briglin Road Red,Keuka Brewing Company,Amber Ale,5 %,0
146,West Sixth Amber,West Sixth Brewing Company,American Amber / Red Ale,5.50 %,1577,Hellbender Red Line Ale &#40; Rum Barrel &#41;,Hellbender Brewing Company,Amber Ale,6 %,0
754,Railway City Iron Spike - Amber Ale,Railway City Brewing Company,American Amber / Red Ale,4.60 %,601,Saint Arnold Altared Amber,Saint Arnold Brewing Company,Belgian Ale,-,0
3994,KCCO Amber Ale,Resignation Brewery,American Amber / Red Ale,5.00 %,2346,Leinenkugels Big Eddy Ryewine Ale,Leinenkugel Brewing Company &#40; Tenth & Blake Beer Co. &#41;,Barley Wine,10 %,0
2487,Hopback Amber,Bube 's Brewery,American Amber / Red Ale,5.20 %,333,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,0
699,Invasion,Black Market Brewing Co. .,American Amber / Red Ale,9.90 %,647,Breakside Hoppy Amber,Breakside Brewery,Amber Ale,4.70 %,0
3494,Regal Eagle,16 Mile Brewing Company,American Amber / Red Ale,6.10 %,1689,508 Brollaboration Series # 2 - Hamber,508 Gastrobrewery,Amber Ale,6.20 %,0
3031,Flagstaff Big Rapid Red,Flagstaff Brewing Company,American Amber / Red Ale,9.20 %,2458,New Albanian Hoosier Daddy Crimson & Cream Ale,New Albanian Brewing Company,American Strong Ale,7 %,0
4057,Sunturnbrew,NÃ ¸ gne _ - Det KompromisslÃ ¸ se Bryggeri A/S,American Barleywine,11.00 %,1955,Flat 12 Barrel Aged Moustache Ride Red,Flat 12 Bierwerks,Amber Ale,-,0
4299,Bishops Gate,Strange Land Brewery,American Barleywine,10.90 %,1921,Chapman_s Red RYEding Hood,Chapman_s Brewing Company,Specialty Grain,10 %,0
507,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,2135,Blackwater Art Deco,Salopian,Golden Ale/Blond Ale,4.20 %,0
1427,Afterglow Aphrodisiac Ale,Picaroons Brewing Co. .,American Amber / Red Ale,5.00 %,716,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,0
1611,A10 Hop Hog,Copperpoint Brewing Company,American Amber / Red Ale,6.30 %,339,Books & Brews Clifford The Big Red Ale,Books & Brews,American Strong Ale,7.40 %,0
336,Barkeater Amber Ale,Lake Placid Craft Brewing Company,American Amber / Red Ale,5.00 %,1522,Two Metre Tall Forester Bitter Amber Ale,Two Metre Tall Brewing Company,Amber Ale,5.30 %,0
499,Banner American Ale,Banner Beer Company,American Amber / Red Ale,3.40 %,1705,Buonconvento Ambrio,Birrificio Angel,Abbey Dubbel,7.20 %,0
2426,Fire Engine Red,Blue Skye Brewery & Eats,American Amber / Red Ale,-,906,Lompoc Saison d_Evolution,Lompoc Brewing,Saison,5.80 %,0
1653,Rockers Red Glare,RJ Rockers Brewing Company,American Amber / Red Ale,4.90 %,2486,Barrier Undertow Dunkel Rauch,Barrier Brewing Company,Smoked,5.50 %,0
579,DeadHead Double Red Ale,DESTIHL Brewery,American Amber / Red Ale,9.10 %,356,Old Market Mr. Toads Wild Red Ale,Old Market Pub and Brewery,Amber Ale,6.50 %,0
2220,Red Devil,The Blue Elephant Craft Brew House,American Amber / Red Ale,5.10 %,2598,Berghoff Reppin _ Red Ale,Stevens Point Brewery,Amber Ale,6.20 %,0
74,Red Fish,Flying Fish Brewing Company,American Amber / Red Ale,7.00 %,211,American Honor Declaration Ale,Lion Brewery,American Pale Ale,5.40 %,0
2616,Valley Red,12 String Brewing Company,American Amber / Red Ale,5.10 %,2649,Brewsters Pursuit of Hoppiness,Brewsters Brewing Co. - Alberta,Imperial IPA,8.50 %,0
2683,Big Wind Amber,Alligator Brewing Company,American Amber / Red Ale,-,944,Plattsburgh Brewing Spitfire Red Ale,Plattsburgh Brewing Company,Amber Ale,5.20 %,0
956,Decoy Red,Wicked Weed Brewing,American Amber / Red Ale,6.00 %,2598,Berghoff Reppin _ Red Ale,Stevens Point Brewery,Amber Ale,6.20 %,0
1125,Lake Missoula Amber,Kettle House Brewing Co. .,American Amber / Red Ale,9.00 %,1733,AB BiÃ ¨ re La Margoulette de NoÃ `` l,AB BiÃ ¨ re,Belgian Strong Ale,8 %,0
990,Red Circle Ale,Battlefield Brew Works,American Amber / Red Ale,5.20 %,655,Against the Grain French Oak Aged Gnag Reflex,Against the Grain Brewery,Sour/Wild Ale,6 %,0
814,Hop Donkey,Auburn Alehouse Brewery & Restaurant,American Amber / Red Ale,8.50 %,2633,Fordham Close Encounter Harvest Ale,Fordham Brewing Company &#40; Coastal Brewing Co. &#41;,Amber Ale,6.50 %,0
2688,Get To The Root,Whole Foods - Post Oak,American Amber / Red Ale,6.50 %,2682,Bells Amber Ale,Bells Brewery,Amber Ale,5.80 %,0
2994,Ansel 's Amber,The VB Brewery,American Amber / Red Ale,5.00 %,2945,AF Brew Redrum IPA,AF Brew,India Pale Ale &#40; IPA &#41;,5.80 %,0
1702,Southport Fairfield Red,SBC Restaurant & Brewery - Southport,American Amber / Red Ale,-,1360,Muckish Mountain Miner_s Red,Muckish Mountain,Irish Ale,-,0
2351,Howl At The Moon Imperial Red,Alpine Dog Brewing Company,American Amber / Red Ale,8.00 %,180,Birrificio Trunasse Zoe,ZOE - Birrificio Trunasse,Golden Ale/Blond Ale,5.50 %,0
3174,Hanging Rock,The Waen Brewery,American Amber / Red Ale,5.60 %,626,Alandale Unfiltered Wheat,Kirkwood Station Brewing Company,German Hefeweizen,-,0
337,Stony Face Red Ale,Hoppy Brewing Co. .,American Amber / Red Ale,5.60 %,547,Arundel Red Devil,Arundel,Bitter,4.20 %,0
3994,KCCO Amber Ale,Resignation Brewery,American Amber / Red Ale,5.00 %,1351,25th Anniversary Pale Ale,Grand Ridge Brewing Co. .,English Pale Ale,5.50 %,0
3143,Roadster Red Ale,Pismo Brewing Company,American Amber / Red Ale,5.70 %,2571,Gnarly Oak Hazelnut Dark,Minhas Craft Brewery,Amber Ale,5.50 %,0
3542,Hose 5,Geaghan 's Restaurant & Pub,American Amber / Red Ale,5.50 %,2197,NOLA Flambeau Red Ale,NOLA - New Orleans Lager & Ale,Amber Ale,5.70 %,0
3623,Matanzas River Red Ale,Ancient City Brewing,American Amber / Red Ale,6.20 %,2558,Big Time Matts Red Eye IPA,Big Time Brewery,India Pale Ale &#40; IPA &#41;,6 %,0
1892,Heliotropic,Planetary Brewing Company,American Amber / Red Ale,6.50 %,2365,Grizzly Peak Steelhead Red Guns and Money,Grizzly Peak Brewing Co. .,Amber Ale,5.50 %,0
3761,Ruby,All Inn Brewing Co,American Amber / Red Ale,4.60 %,2644,Black Husky Harold The Red Ale,Black Husky Brewing,Amber Ale,6.60 %,0
4082,Quakerbridge,Half Acre Beer Company,American Barleywine,10.00 %,2034,PÃ ¨ re Jakob AmbrÃ © e Bitter with Brewers Gold,PÃ ¨ re Jakob,Amber Lager/Vienna,5 %,0
3890,Smokey The Ambear,Frothy Beard Brewing Company,American Amber / Red Ale,5.00 %,1298,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 %,0
2508,Ruby Pogo,Three Palms Brewing Co. .,American Amber / Red Ale,7.50 %,1595,14th Star Maple Breakfast Stout,14th Star Brewing Company,Stout,5.50 %,0
3328,Shooting Star Amber Ale,Utah Brewers Cooperative,American Amber / Red Ale,4.00 %,612,Black Heath Proserpine,Black Heath Meadery,Mead,13 %,0
4061,Imperial Barley Wine Style Ale,Mendocino Brewing Company,American Barleywine,11.00 %,2086,Wildlife 9 Grain Amber,Wildlife Brewing & Pizza,Amber Ale,6.50 %,0
287,Flying Monkey Amber Ale,Flying Monkey Brewing Company,American Amber / Red Ale,4.60 %,2857,Wrecking Bar Nathan_s 13 Minute Amber,Wrecking Bar Brewpub,Amber Ale,7.40 %,0
2523,Creekside Rippoff Red Ale,Creekside Brewing Company,American Amber / Red Ale,5.80 %,526,Wolf_s Ridge Little Red Riding Ale,Wolf_s Ridge Brewing,Amber Ale,4.50 %,0
2432,Dragonfly,Fallen Brewing Company,American Amber / Red Ale,4.60 %,171,Prescott Manzanita Red,Prescott Brewing Company,Amber Ale,5.10 %,0
3605,Constanza _ ™ s Hoppy Red Ale,Bomber Brewing,American Amber / Red Ale,6.20 %,814,_ irv &#279; nos Dundulio Pilstoma Gira,_ irv &#279; nos Bravoras &#40; Dundulis &#41;,Low Alcohol,0.50 %,0
625,1609 Amber Ale,Coney Island Brewing Company,American Amber / Red Ale,4.80 %,185,Amnesia Crystal Red Ale,Amnesia Brewing,Amber Ale,6 %,0
4069,Short 's The Wizard,Short 's Brewing Company,American Barleywine,11.00 %,714,Alligator Chocolate Orange Belgian Ale,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;,Belgian Ale,6.20 %,0
1470,Big 10 Red,Great Dane Pub & Brewing Company ( Downtown ),American Amber / Red Ale,-,1313,Wicked Weed Tyrant Double Red,Wicked Weed Brewing,American Strong Ale,8.80 %,0
1648,Rip Saw Red,Pints Brewing Co. .,American Amber / Red Ale,6.50 %,571,Pints Rip Saw Red,Pints Brewing Company,Amber Ale,5.90 %,1
2418,Speed Bump,Bear Republic Brewing Co. .,American Amber / Red Ale,4.60 %,1847,508 Cocoa for Coconuts &#033;,508 Gastrobrewery,Cream Ale,-,0
3407,Boreal Amber,Seven Arrows Brewing Company,American Amber / Red Ale,5.60 %,2843,Marley_s Pack Dog Peanut Butter Ale,Marley_s Brewery and Grille,Spice/Herb/Vegetable,6.30 %,0
1221,Dragon Red Ale,Bilbo 's Pizza,American Amber / Red Ale,4.80 %,26,Blue Elephant Red Devil,Blue Elephant Craft Brew House,Amber Ale,5.10 %,0
3580,Moggy 's Old Red Ale,Bubba Brew 's Brewing Company,American Amber / Red Ale,-,2812,Railway City Iron Spike Amber Ale,Railway City Brewing Company,Amber Ale,4.60 %,0
2709,Outlaw IPA,Small Batch Beer Co. .,American Amber / Red Ale,6.50 %,2768,Circle Devil_s Envy,Circle Brewing Company,Amber Ale,4.80 %,0
509,Ragin ' Bull,Bolero Snort Brewery,American Amber / Red Ale,5.00 %,281,Rush River The Unforgiven Amber Ale,Rush River Brewing Company,Amber Ale,5.50 %,0
1582,Amperage Amber,Powerhouse Restaurant And Brewery,American Amber / Red Ale,5.30 %,2650,Portsmouth Brewing Red Bird Ale,Portsmouth Brewing,California Common,-,0
1935,Sidewinder Red Ale,Big Bear Lake Brewing Company,American Amber / Red Ale,8.50 %,2675,Horny Goat Red Planet Red Ale,Stevens Point Brewery,Amber Ale,5.40 %,0
4195,Old Musty Barleywine,C.H. Evans Brewing Company,American Barleywine,9.50 %,2210,603 Winni Ale,603 Brewery,Amber Ale,6.50 %,0
651,Moonrise Amber,Firefly Hollow Brewing Co. .,American Amber / Red Ale,6.30 %,1567,All Saints Crimson Halo,All Saints Brewing Company,Amber Ale,5.30 %,0
1294,Charmer,Wayward Brewing,American Amber / Red Ale,5.00 %,1150,Amherst Ace in the Hole Pilsner,Amherst Brewing Company,Pilsener,4.50 %,0
1983,Cleary Red,Hereford & Hops Restaurant & Brewpub,American Amber / Red Ale,-,2681,Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;,Alley Kat Brewing Company,Irish Ale,-,0
1078,HATER,Pizza Port Solana Beach,American Amber / Red Ale,5.50 %,2688,Estes Park Redrum Ale,Estes Park Brewery,Premium Bitter/ESB,4.50 %,0
4203,Three Sheets Barleywine ( Syrah Barrel Aged ),Ballast Point Brewing Company,American Barleywine,9.00 %,1649,TitanbrÃ $ u Rossa,TitanbrÃ $ u - Birrificio Artigianale Sammarinese,Amber Ale,7.50 %,0
1401,Lunch Pail Ale,Breaker Brewing Company,American Amber / Red Ale,5.50 %,855,Inlet Brewing Monk in the Trunk Organic Amber Ale,Thomas Creek Brewery,Amber Ale,5.50 %,0
1342,Harvard Honey Ale,Wigram Brewing Co,American Amber / Red Ale,6.00 %,178,5 Seasons Big Horn Bock,5 Seasons Brewing Company,Dunkler Bock,-,0
232,Lavaman Red Ale,Kona Brewing Co. .,American Amber / Red Ale,5.60 %,2232,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 %,0
2857,Tongue Buckler Cask W/Ginger And Lemongrass,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,2590,Wadworth Henrys Smooth,Wadworth,Bitter,3.60 %,0
48,Believer,Ninkasi Brewing Company,American Amber / Red Ale,6.90 %,1420,La Tourangelle AmbrÃ © e,l_Aurore,Belgian Ale,6.10 %,0
2815,Gluten Friendly,Outlaw Brewing,American Amber / Red Ale,-,2298,Climax Barleywine 10th Anniversary Ale,Climax Brewing Company,Barley Wine,10 %,0
280,Bulldog Amber Ale,Half Pints Brewing Company,American Amber / Red Ale,5.40 %,1133,Glasstown Fortescue Fisherman_s Ale,Glasstown Brewing Company,American Pale Ale,4.50 %,0
2011,Red Coat Resistance,Gun Hill Brewing Company,American Amber / Red Ale,5.40 %,969,Bad Bear Amber Ale,Bad Bear Brewery,Amber Ale,5 %,0
2551,Shades Of Amber,Sandude Brewing Co. .,American Amber / Red Ale,5.00 %,2854,Beaver Street Railhead Red,Beaver Street Brewery,Amber Ale,-,0
3857,Brewed Arson Amber,Heathen Brewing,American Amber / Red Ale,5.80 %,1285,Grassroots/Tired Hands Do Saisons Dream Of Electric Yeast ?,FanÃ ¸ Bryghus,Saison,7 %,0
2769,Florida Wildflower Unite Red Ale,Daytona Beach Brewing Company,American Amber / Red Ale,5.90 %,818,12th Abbey Altered Amber,12th Abbey,Amber Ale,4.20 %,0
572,Cascade Amber,Tied House Cafe & Brewery,American Amber / Red Ale,5.20 %,2388,Tired Hands MotherAnimal,Tired Hands Brewing Company,Barley Wine,11.20 %,0
3461,Hollbeer BiÃ © re De Printemps,Brasserie Hollbeer et Magasin,American Amber / Red Ale,6.50 %,2824,Persephone Rum Runner Red Ale,Persephone Brewing,Amber Ale,6 %,0
2511,Hopped Up Red Ale,Sick N Twisted Brewing Co. .,American Amber / Red Ale,8.00 %,939,Rateliers Bell de Loing AmbrÃ © e,Les RÃ cents teliers,Amber Ale,5.90 %,0
843,Paradigm Shift,Williams Brothers Brewing Company,American Amber / Red Ale,6.20 %,276,Budge Brothers Spokamber 509 Amber Ale,Budge Brothers Brewery,Amber Ale,4.50 %,0
1228,Atalaya Amber,Blue Corn Brewery,American Amber / Red Ale,5.60 %,2445,Mother_s Foggy Notion - Single Barrel,Mother_s Brewing Company,Barley Wine,10.80 %,0
2655,Electroshock Therhopy,Wisconsin Brewing Co. .,American Amber / Red Ale,-,219,Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale,Blue Corn Brewery &#40; Santa Fe &#41;,Amber Ale,5.20 %,0
2386,Conscription American Red,Vagabond Brewery,American Amber / Red Ale,-,1242,Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,0
1620,Red Hops Double Red Ale,Beer Here,American Amber / Red Ale,7.50 %,2041,Clifton Hill Dark Ale,Clifton Hill Brewpub,Porter,4.50 %,0
2228,Jesse 's Girl,BadWolf Brewing Company,American Amber / Red Ale,5.00 %,210,Fuggles & Warlock Hyper Combo Red Rye IPA,Dead Frog Brewery,American Strong Ale,8 %,0
2933,Cheerwood Amber,Marz Community Brewing,American Amber / Red Ale,-,1783,Moosehead Boundary Ale,Moosehead Brewery,Amber Ale,5.30 %,0
2525,Dick 's Oatmeal IRA,Bill 's Tavern & Brewhouse,American Amber / Red Ale,8.00 %,2700,Block 15 Hellion,Block 15 Brewery,Belgian Strong Ale,12.50 %,0
720,Fat-Ten-Er # 14,New England Brewing Co. .,American Amber / Red Ale,6.50 %,2601,Liberty Street Red Glare Amber Ale,Liberty Street Brewing Company,Amber Ale,5.20 %,0
2839,Double Red Tail,Beard & Brau,American Amber / Red Ale,6.20 %,612,Black Heath Proserpine,Black Heath Meadery,Mead,13 %,0
2216,Imperial Gargoyle Ale,The Brew Kettle Taproom & Smokehouse / Production Works,American Amber / Red Ale,8.00 %,1763,Elk Street Oakley_s Amber,Elk Street Brewery,Amber Ale,4.60 %,0
3961,Redux Red Ale,Three Forks Bakery & Brewing Co. .,American Amber / Red Ale,5.40 %,1348,Fox and Hound Red Fox Amber Ale,Anheuser-Busch InBev,Amber Ale,5.10 %,0
949,Comet,Wicked Weed Brewing,American Amber / Red Ale,8.50 %,2255,Idle Hands Craft Ales Dimples Redux,Idle Hands Craft Ales,Abbey Dubbel,8.30 %,0
20,CascaZilla,Ithaca Beer Company,American Amber / Red Ale,7.00 %,160,Double Barley Give _ Em Hell,Double Barley Brewing,American Strong Ale,10.40 %,0
2835,Redheaded Step Hog,Twisted Snout Brewery & Public House,American Amber / Red Ale,5.80 %,456,Titletown Addlepated Ale,Titletown Brewing Company,Amber Ale,6.50 %,0
219,Offshore Amber Ale,Offshore Ale Company,American Amber / Red Ale,5.30 %,2876,Bishop Nick Revelry,Bishop Nick,Bitter,4.50 %,0
4278,10th Anniversary Barleywine ( 2014 ),Amnesia Brewing,American Barleywine,10.20 %,2428,Nebraska Inception Series Runnin _ with the Devil,Nebraska Brewing Company,Barley Wine,11.90 %,0
3954,Feisty Fisher Amber Ale,Weasel Boy Brewing Company,American Amber / Red Ale,-,714,Alligator Chocolate Orange Belgian Ale,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;,Belgian Ale,6.20 %,0
3980,Riptide,Westport Brewing,American Amber / Red Ale,6.90 %,2354,Alley Kat Olde Deuteronomy Barley Wine,Alley Kat Brewing Company,Barley Wine,10.30 %,0
3204,Dirty Redhead,GoatHouse Brewing,American Amber / Red Ale,7.50 %,2808,Isotopes Slammin Amber,Sierra Blanca Brewing Co,Amber Ale,-,0
403,Starfish Imperial Red Ale,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,7.50 %,687,Artisan_s Hoppy Amber Ale,Artisan_s Brewery and Italian Grill,Amber Ale,5.20 %,0
4232,Old Conundrum - Heaven Hill Rye,FiftyFifty Brewing Co. .,American Barleywine,11.00 %,353,Rebellion Scandale,Rebellion,Bitter,4.50 %,0
3643,Renegade Imperial Red,Happy Valley Brewing Company,American Amber / Red Ale,8.60 %,1471,MalmÃ ¶ Lord of Myrcene,MalmÃ ¶ Brygghus,American Strong Ale,7 %,0
352,Project Failed Red Ale,10 Barrel Brewing Co. .,American Amber / Red Ale,6.70 %,967,Sornin AmbrÃ © e &#40; Biere du Sornin &#41;,Les Brasseurs du Sornin,Amber Ale,5.90 %,0
3754,Canadian Red Ale,Half Full Brewery,American Amber / Red Ale,6.40 %,1415,COAST Carnie Fire,COAST Brewing Company,Amber Ale,5 %,0
1991,Mata Brown Boy,Aotearoa Breweries,American Amber / Red Ale,5.00 %,2353,Mikkeller Big Worst Barley Wine,De Proefbrouwerij,Barley Wine,18.50 %,0
313,Cable Car Small Batch Amber Ale,World Brews,American Amber / Red Ale,4.50 %,714,Alligator Chocolate Orange Belgian Ale,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;,Belgian Ale,6.20 %,0
933,Red Water,Crow Peak Brewing,American Amber / Red Ale,6.50 %,1032,Fall Unicorn Stampede,Fall Brewing Company,Amber Ale,6.60 %,0
4182,Horn Of The Beer,Anderson Valley Brewing Company,American Barleywine,8.60 %,2367,Equinox Entropycal Red IPA,Equinox Brewing,India Pale Ale &#40; IPA &#41;,6.10 %,0
973,Rod Bender,3 Daughters Brewing,American Amber / Red Ale,5.90 %,1407,Chapelle NorthmÃ ¦ n AmbrÃ © e,la Chapelle,BiÃ ¨ re de Garde,5 %,0
3401,Fluck 's Incapacitor,Freetail Brewing Company,American Amber / Red Ale,6.40 %,1477,559 Bourbon Barrel Ale &#40; BBA &#41;,W Brewing / 559 Brewing,American Strong Ale,8 %,0
4223,No. 9 Barleywine,Back Road Brewery,American Barleywine,10.00 %,1152,Big Muddy Saluki Dunkeldog Dark Amber,Big Muddy Brewing Company,Amber Ale,5.40 %,0
1924,Black Woods Forest Ale,August Schell Brewing Company,American Amber / Red Ale,-,594,Coachs Railyard Amber Ale,Coachs Brewery,Amber Ale,-,0
1318,American Amber,Wicklow Wolf Brewing Co. .,American Amber / Red Ale,4.80 %,413,Philadelphia Rowhouse Red,Philadelphia Brewing Company,Specialty Grain,5 %,0
3326,Wreck Yo Self,Figueroa Mountain Brewing Co. .,American Amber / Red Ale,7.50 %,2384,18th Street Barrel Aged Devil_s Spear,18th Street Brewery,Barley Wine,11.50 %,0
3858,Diwall AmbrÃ © e,Distillerie Warenghem,American Amber / Red Ale,6.00 %,2085,Baird Smoked Amber Ale,Baird Brewing Co. .,Smoked,-,0
2203,Amber Cadabra,Tapistry Brewing,American Amber / Red Ale,4.80 %,458,Szot Amber Ale,Szot Microbrewery,Amber Ale,5 %,0
972,Double Down Imperial Red,Wildcard Brewing,American Amber / Red Ale,-,1602,Amherst Minuteman Red,Amherst Brewing Company,Amber Ale,4.80 %,0
638,Ellis Island Amber,Ellis Island Casino & Brewery,American Amber / Red Ale,6.00 %,2411,Big Time Old Wooly Barleywine,Big Time Brewery,Barley Wine,9 %,0
2345,Big Nose Red,Big Nose Brewing,American Amber / Red Ale,-,894,&#40; 512 &#41; Mole Cream Stout,&#40; 512 &#41; Brewing Company,Sweet Stout,-,0
3083,Saved By The Belma,On Rotation,American Amber / Red Ale,5.00 %,2523,Odd Side Ales Colossal Oversight,Odd Side Ales,Barley Wine,12 %,0
4321,Morgue Party,Relic Brewing Co,American Barleywine,10.80 %,63,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9 %,0
3286,Beachside High Tide,Florida Beer Company,American Amber / Red Ale,8.50 %,115,San Luis Valley Alamosa Amber,San Luis Valley Brewing Company,Amber Ale,5 %,0
3459,Colonnel Salaberry,Microbrasserie MaltÃ © us,American Amber / Red Ale,5.60 %,1470,Adventure Second Ascent Double IPA,Adventure Brewing Company,Imperial IPA,9 %,0
1459,3:30 Amber Ale,Diamondback Beer,American Amber / Red Ale,5.00 %,2997,Millys Tavern Tashas Red Tail Ale,Millys Tavern / Stark Brewing Company,Amber Ale,4.80 %,0
334,1901 Red Ale,Bold City Brewery,American Amber / Red Ale,7.50 %,1803,Dia De Los Muertos Death Becomes You Amber Ale,CervecerÃa Mexicana,Amber Ale,5.50 %,0
687,False Cape Amber Ale,Back Bay Brewing Co. .,American Amber / Red Ale,6.00 %,1338,Beer Buddy Red Ale,Hansharo,English Strong Ale,-,0
159,Betrayal Imperial Red,Speakeasy Ales & Lagers,American Amber / Red Ale,8.20 %,102,Dragonmead Crooked Door Amber Ale,Dragonmead Brewery,Amber Ale,5 %,0
2533,Dispensary Red Ale,Hops and Grain Brewery,American Amber / Red Ale,-,2273,Alvinne Red King,Picobrouwerij Alvinne,Sour/Wild Ale,6 %,0
814,Hop Donkey,Auburn Alehouse Brewery & Restaurant,American Amber / Red Ale,8.50 %,605,Boulder Draft House Alpenglow Amber,Boulder Draft House,Amber Ale,5.60 %,0
2369,Trail Blazer Red,Inland Empire Brewing Company,American Amber / Red Ale,7.00 %,2523,Odd Side Ales Colossal Oversight,Odd Side Ales,Barley Wine,12 %,0
4192,Moose Knuckle Barleywine,Piece Brewery & Pizzeria,American Barleywine,11.00 %,1279,Sandude Shades of Amber,Sandude Brewing Company,Amber Ale,5 %,0
1223,Sacrilicious Ale,Seabright Brewery,American Amber / Red Ale,6.80 %,2199,Iechyd Da Main Drag Amber,Iechyd Da Brewing Company,Amber Ale,5.50 %,0
4329,Barrel Aged Series : Barley Wine,Parallel 49 Brewing Company,American Barleywine,11.80 %,1883,Berkeley Springs American Amber Ale,Berkeley Springs Brewing Company,Amber Ale,5.30 %,0
1048,Ridgeback Red,Block 15 Brewery & Restaurant,American Amber / Red Ale,6.30 %,2596,Wadworth / Dungarvan Copper Coast Irish Red Ale,Wadworth,Irish Ale,4.30 %,0
1269,Red Eye Rye,Cascade Brewing / Raccoon Lodge & Brewpub,American Amber / Red Ale,4.70 %,2138,The Freehouse No. 22 Honey Red Ale,The Freehouse,Amber Ale,5.50 %,0
26,Blazing World,Modern Times Beer,American Amber / Red Ale,6.80 %,1462,40 Arpent Red Beans & Rice Ale,40 Arpent Brewing Company,Amber Ale,-,0
4224,Cherry Annularity,FiftyFifty Brewing Co. .,American Barleywine,12.50 %,1584,Beerbliotek Mankerbeer Red Ale,Beerbliotek,Amber Ale,6 %,0
1127,Island Ale,Jacob Leinenkugel Brewing Company,American Amber / Red Ale,8.50 %,2770,Abbey Wright Alpha Deuce IPA,Abbey Wright Brewing Company,Imperial IPA,7.80 %,0
804,Double Dirty Hippie,Kern River Brewing Company,American Amber / Red Ale,10.00 %,1766,Rivertowne Sow Your Oats Red Ale,Rivertowne Pour House,Specialty Grain,5.40 %,0
3175,Rose City Red Ale,New Boswell Brewery & Tap Room,American Amber / Red Ale,5.70 %,1255,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,0
2195,Fire Hydrant Red Ale,Back Alley Brewery,American Amber / Red Ale,5.80 %,88,Ocho Reales Ale,Sierra Madre Brewing Co. ( Mexico ),Brown Ale,5 %,0
3566,Fireman 's Amber,Waddell 's Brewpub & Grille,American Amber / Red Ale,5.26 %,2571,Gnarly Oak Hazelnut Dark,Minhas Craft Brewery,Amber Ale,5.50 %,0
3032,Le Magnifiche Elbana,La Petrognola,American Amber / Red Ale,8.00 %,64,Wynwood Fox Imperial Red Ale,Wynwood Brewing Company,American Strong Ale,7.70 %,0
4259,Anabasis,Side Project Brewing,American Barleywine,14.00 %,2364,Crazy Mountain Lawyers,Crazy Mountain Brewing Company,Barley Wine,10 %,0
4086,Fish Tale Leviathan Barleywine,Fish Brewing Company / Fishbowl Brewpub,American Barleywine,10.00 %,2103,Manor Hill Stone Bridge Amber,Manor Hill Brewing,Amber Ale,7.50 %,0
1741,Bags Best Red Ale,Millersburg Brewing Company,American Amber / Red Ale,6.50 %,886,Manitou Tall Rev Red Ale,Manitou Brewing Company,Amber Ale,6.70 %,0
1466,Texas Red Amber Ale,Big Texan Brewery,American Amber / Red Ale,4.50 %,2529,Broadway Pub Elixir de Belphegor Barley Wine,Broadway Pub,Barley Wine,10 %,0
2345,Big Nose Red,Big Nose Brewing,American Amber / Red Ale,-,1343,Adirondack British Red,Adirondack Pub and Brewery,Irish Ale,4.80 %,0
2192,Bat Out Of Hell Red Ale,Poor House Brewing Company,American Amber / Red Ale,5.00 %,2697,Railway City Iron Spike Copper Ale,Railway City Brewing Company,Amber Ale,4.40 %,0
885,Market Street Wrought Iron Red,Market Street Brewing Co. and Restaurant,American Amber / Red Ale,-,424,Peak Organic King Crimson,Shipyard Brewing Company,American Strong Ale,9 %,0
1667,Rotation Red Ale,Rat Hole BrewPub,American Amber / Red Ale,7.70 %,698,Rusty Truck Stupiphany Imperial Red Ale,Rusty Truck Brewing / Roadhouse 101,American Strong Ale,8 %,0
